●収益的収支　　消費税抜き,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）
区分,H20年度決算額,区分,H20年度決算額
下水道使用料,"9,445,532",人件費,"1,665,932"
雨水処理負担金,"5,194,596",動力費,"565,317"
受託工事収益,17165,修繕費,"795,561"
他会計補助金,"693,000",委託料,"152,310"
その他,3578126,薬品費,"1,281,780"
,,受託工事費,15369
,,減価償却費等,"7,677,444"
,,支払利息,"5,054,881"
,,その他,"1,718,773"
計,"18,928,419",計,"18,927,367"
,,差引損益,1052
,,,
●資本的収支　　消費税込み,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）
区分,H20年度決算額,区分,H20年度決算額
企業債,"16,667,100",下水道整備費,"10,467,447"
国庫支出金,"3,286,701",流域下水道整備費,169150
受益者負担金,"298,327",企業債償還金,"19,189,505"
補てん財源,"9,473,244",その他,"92,445"
その他,"193,175",,
計,"29,918,547",計,"29,918,547"
