●収益的収支　　消費税抜き,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）
区分,H21年度決算額,区分,H21年度決算額
下水道使用料,"9,510,925",人件費,"1,472,644"
雨水処理負担金,"5,084,236",動力費,"515,124"
受託工事収益,0,修繕費,"791,018"
他会計補助金,"457,000",薬品費,"157,106"
その他,3522954,委託料,"1,333,995"
,,受託工事費,0
,,減価償却費等,"7,796,662"
,,支払利息,"4,632,325"
,,その他,"1,875,823"
計,"18,575,115",計,"18,574,697"
,,差引損益,418
,,,
●資本的収支　　消費税込み,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）
区分,H21年度決算額,区分,H21年度決算額
企業債,"21,083,900",下水道整備費,"9,484,462"
国庫支出金,"2,800,920",流域下水道整備費,277500
受益者負担金,"430,834",企業債償還金,"22,608,687"
補てん財源,"7,769,613",その他,"113,706"
その他,"399,088",,
計,"32,484,355",計,"32,484,355"
