●収益的収支　　消費税抜き,,,,,,,,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）,,,,,,,
区分,H22年度決算額,区分,H22年度決算額,,,,,,,
下水道使用料,"9,636,669",人件費,"1,340,874",,,,,,,
雨水処理負担金,"5,010,500",動力費,"503,131",,,,,,,
受託工事収益,0,修繕費,"644,654",,,,,,,
営業外収益,"3,284,868",薬品費,"153,911",,,,,,,
その他,615,委託料,"1,382,817",,,,,,,
,,受託工事費,0,,,,,,,
,,減価償却費等,"8,188,634",,,,,,,
,,支払利息,"3,967,257",,,,,,,
,,その他,"1,438,376",,,,,,,
計,"17,932,652",計,"17,619,654",,,,,,,
,,差引損益,"312,998",,,,,,,
,,,,,,,,,,
●資本的収支　　消費税込み,,,,,,,,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）,,,,,,,
区分,H22年度決算額,区分,H22年度決算額,,,,,,,
企業債,"6,618,700",下水道整備費,"9,080,702",,,,,,,
国庫支出金,"3,135,669",流域下水道整備費,184075,,,,,,,
受益者負担金,"375,034",企業債償還金,"9,759,349",,,,,,,
補てん財源,"8,241,636",その他,"97,300",,,,,,,
その他,"750,387",,,,,,,,,
計,"19,121,426",計,"19,121,426",,,,,,,
,,,,,,,,,,
