●収益的収支　　消費税抜き,,,,,,,,,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）,,,,,,,,
区分,H23年度決算額,区分,H23年度決算額,,,,,,,,
下水道使用料,"9,637,937",人件費,"1,421,555",,,,,,,,
雨水処理負担金,"5,000,143",動力費,"535,389",,,,,,,,
受託工事収益,0,修繕費,"517,654",,,,,,,,
営業外収益,"3,295,318",薬品費,"134,446",,,,,,,,
その他,436,委託料,"1,381,274",,,,,,,,
,,受託工事費,0,,,,,,,,
,,減価償却費等,"8,231,064",,,,,,,,
,,支払利息,"3,854,196",,,,,,,,
,,その他,"1,505,887",,,,,,,,
計,"17,933,834",計,"17,581,465",,,,,,,,
,,差引損益,"352,369",,,,,,,,
,,,,,,,,,,,
●資本的収支　　消費税込み,,,,,,,,,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）,,,,,,,,
区分,H23年度決算額,区分,H23年度決算額,,,,,,,,
企業債,"6,750,700",下水道整備費,"9,105,985",,,,,,,,
国庫支出金,"3,354,255",流域下水道整備費,321375,,,,,,,,
受益者負担金,"374,074",企業債償還金,"9,511,562",,,,,,,,
補てん財源,"7,852,614",その他,"110,860",,,,,,,,
その他,"718,139",,,,,,,,,,
計,"19,049,782",計,"19,049,782",,,,,,,,
